[(368.8, 56.0), (441.6, 56.0), (435.2, 131.2), (354.4, 130.4)]
[(440.0, 55.2), (520.0, 57.6), (525.6, 134.4), (435.2, 132.0)]
[(519.2, 55.2), (601.6, 59.2), (622.4, 140.8), (527.2, 135.2)]
[(600.0, 58.4), (686.4, 62.4), (722.4, 147.2), (624.0, 140.0)]
[(686.4, 62.4), (774.4, 70.4), (824.8, 158.4), (722.4, 150.4)]
[(774.4, 70.4), (867.2, 80.0), (927.2, 170.4), (825.6, 157.6)]
[(869.6, 81.6), (947.2, 92.0), (1024.0, 186.4), (928.0, 170.4)]
[(949.6, 92.0), (1031.2, 105.6), (1110.4, 201.6), (1024.0, 184.8)]
[(354.4, 132.8), (434.4, 133.6), (427.2, 242.4), (333.6, 236.8)]
[(434.4, 134.4), (526.4, 136.0), (538.4, 252.0), (427.2, 242.4)]
[(527.2, 136.0), (624.0, 140.0), (656.8, 260.8), (541.6, 252.0)]
[(624.0, 140.8), (724.0, 150.4), (775.2, 274.4), (654.4, 260.8)]
[(725.6, 150.4), (827.2, 160.0), (896.0, 288.0), (774.4, 275.2)]
[(828.8, 159.2), (928.8, 171.2), (1009.6, 304.0), (895.2, 287.2)]
[(931.2, 173.6), (1024.0, 187.2), (1116.8, 318.4), (1010.4, 301.6)]
[(308.8, 404.8), (420.0, 408.8), (456.0, 628.0), (312.8, 624.0)]
[(424.0, 408.0), (545.6, 416.8), (621.6, 628.0), (461.6, 630.4)]
[(626.4, 417.6), (750.4, 421.6), (888.0, 606.4), (729.6, 623.2)]
